gid	name	X	Y
1	李坝村	34950.331000	31424.955000
2	李坝村	34792.164000	31356.744000
3	山观安息堂	34507.267000	31539.137000
4	耶稣堂	34760.673000	31615.296000
5	寿山采石场	34533.451000	31770.832000
6	冯家村	34964.576000	31954.304000
7	冯家村	34742.102000	31991.996000
8	粮饲有限公司	34239.681000	31121.487000
9	市友联金属制品公司	34107.088000	31199.402000
10	有限公司	34173.388000	31198.520000
11	市定山食品	34172.290000	31203.117000
12	市方正织造有限公司	34108.289000	31306.218000
13	孙家村	34018.666000	31363.826000
14	江阴春发特种	34239.837000	31125.662000
15	费家村	34018.387000	31418.187000
16	市华南机械毛毯公司	34131.319000	31771.006000
17	寿山采石场	34352.232000	31934.985000
18	山观安息堂	34472.980000	31527.343000
19	寿山村林场	34356.777000	31544.645000
20	寿山采石场	34347.840000	32012.381000
21	20031771	33524.577173	31412.540000
22	20031770	33526.574992	31307.038000
23	堆煤场	33906.855000	31094.652000
24	新经小学	33511.047000	31471.067000
25	心经砖瓦厂	33899.432000	31148.096000
26	孙家村	33717.429000	31465.074000
27	20031967	33523.056194	31560.087000
28	20031840	33603.663439	31959.262889
29	20031328	33507.480062	31994.624000
30	费家村桥	33895.061000	31633.900000
31	20031840	33604.666873	32043.191990
32	市荣仁电源有限公司	35635.418000	31397.408000
33	张岐山村	35574.599000	31413.955000
34	道士村	35629.793000	31022.014000
35	张岐庵	35674.355000	31294.075000
36	市光阳纺织包装公司	35778.294000	31588.075000
37	市山观神龙呢绒厂	35746.479000	31684.020000
38	山城村	35891.843000	31669.895000
39	张岐山村	35754.878000	31760.773000
40	市洪达呢绒厂	35620.106000	31505.211000
41	张岐山村	35703.203000	31917.959000
42	北沙桥	35889.334000	31890.438000
43	张岐山小学	35823.632000	31683.464000
44	洪流村卫生所	35651.062000	31701.243000
45	山城村	35965.372000	31940.509000
46	东盛汽流纺厂	35995.530999	32026.574000
47	张岐山村	35683.189000	32020.016000
48	张岐山	35482.491000	31359.489000
49	成庄坝	35321.690000	31073.288000
50	成庄坝	35119.831000	31081.851000
51	李坝村	35180.852000	31299.642000
52	洪流鹿场	35228.850000	31485.394000
53	张岐山村	35432.368000	31867.834000
54	洪流桥	35161.049000	31787.143000
55	东山汽流纺织厂	35085.365000	31841.408000
56	周家村	35072.741000	31770.021000
57	周家村	35465.247000	31758.378000
58	周家村	35301.405000	31853.646000
59	周家村	35281.115000	31773.074000
60	南庄	36958.949000	31414.011000
61	南庄	36944.437000	31163.445000
62	南庄采石场	36714.812000	31640.510000
63	南庄	36962.586000	31554.976000
64	北山采石场	36532.409000	31810.952000
65	占文稷山林场	36640.119000	31961.808000
66	有限公司江阴分公司	36714.481000	32021.853000
67	武进市立华畜禽	36714.481000	32025.171000
68	洪流村建筑材料厂	36199.874000	31360.322000
69	洪流采石厂	36435.373000	31415.792000
70	山城村	36119.693000	31417.488000
71	山城桥	36019.170000	31578.023000
72	江阴兴华毛纺厂	36204.841000	31891.577000
73	北山采石场	36391.997000	31836.291000
74	山城村	36131.938000	31875.383000
75	山城村	36157.224000	31658.350000
76	山城村	36056.955000	31543.118000
77	织布厂	36140.579000	32022.443000
78	北山洪流	36138.196000	32026.366000
79	东盛汽流纺厂	36031.229999	32032.973000
80	太平桥	39037.112567	31216.272000
81	河东村	39006.380000	31196.899000
82	金湾里	39038.219000	31048.081000
83	预制板厂	39128.288000	31126.519000
84	青鱼塘	38156.970000	31049.557000
85	河东村	38652.834000	31168.628000
86	金湾里	38934.933000	31107.618000
87	王家村	38434.226000	31243.785000
88	庄家巷	38079.800000	31451.663000
89	顾家村	38348.572000	31382.612000
90	周庄勇恒重型机械厂	38481.592000	31116.915000
91	协顺纺织公司	38148.628000	31185.242000
92	创鑫纺织公司	38033.855000	31291.649000
93	英润纺织公司	38142.814000	31295.572000
94	科威塑业公司	38299.016000	31124.918000
95	周庄镇顾家桥实业总公	38789.408000	31260.490000
96	周庄特种化纤色织厂	38853.213000	31228.592000
97	顾家桥	38061.494410	31703.284000
98	南庄	37176.370000	31492.740000
99	南庄	37034.081000	31175.246000
100	蒋巷上	37415.065000	31187.836000
101	南庄	37039.781000	31614.154000
102	青龙大桥	37324.418363	31983.276000
103	蒋巷上	37606.039000	31009.095000
104	大金家巷	37742.603000	31140.065000
105	朝东村	37873.331000	31013.770000
106	朝东村	37900.584000	31120.386000
107	朝东村	37850.352000	31288.232000
108	小金家巷	37540.493000	31577.191000
109	庄家巷	37950.061000	31628.551000
110	张家港市占文雪羽养殖	37274.898000	31808.038000
111	顾家桥加油站	37809.448000	31417.033000
112	雪龙纺织公司	37858.557000	31402.180000
113	东林电灌站	37646.281000	31145.290000
114	凯达布业公司	37595.096000	31097.029000
115	东林社区	37923.041000	31504.132000
116	云亭轧石厂七工段	32487.214000	30109.688000
117	云亭轧石厂六工段	32408.911000	30226.172000
118	姚家村	32645.971000	30989.011000
